,box,area,mat,mass,vol,first,deadline,expected,priority
55,S008-WAT-01,S008,饮用水,14,0.027,True,7200.0,7200,10
56,S008-WAT-02,S008,饮用水,14,0.027,False,,7200,10
57,S008-FOD-01,S008,应急食品,8,0.028,False,,10800,8
58,S008-HYG-01,S008,生活卫生用品,6,0.035,False,,14400,6
59,S009-MED-01,S009,医疗物资,3,0.012,True,10800.0,10800,16
60,S009-WAT-01,S009,饮用水,14,0.027,True,10800.0,10800,8
61,S009-FOD-01,S009,应急食品,8,0.028,False,,14400,6
62,S010-MED-01,S010,医疗物资,3,0.012,True,3600.0,3600,24
63,S010-WAT-01,S010,饮用水,14,0.027,True,3600.0,3600,12
64,S010-FOD-01,S010,应急食品,8,0.028,False,,7200,10
65,S011-MED-01,S011,医疗物资,3,0.012,True,10800.0,10800,16
66,S011-WAT-01,S011,饮用水,14,0.027,True,10800.0,10800,8
67,S011-FOD-01,S011,应急食品,8,0.028,False,,14400,6
68,S012-MED-01,S012,医疗物资,3,0.012,True,3600.0,7200,22
69,S012-WAT-01,S012,饮用水,14,0.027,True,3600.0,3600,12
70,S012-FOD-01,S012,应急食品,8,0.028,False,,7200,10
71,S013-MED-01,S013,医疗物资,3,0.012,True,3600.0,3600,24
72,S013-WAT-01,S013,饮用水,14,0.027,True,3600.0,3600,12
73,S013-FOD-01,S013,应急食品,8,0.028,False,,7200,10
74,S014-MED-01,S014,医疗物资,3,0.012,True,3600.0,7200,22
75,S014-WAT-01,S014,饮用水,14,0.027,True,3600.0,3600,12
76,S014-FOD-01,S014,应急食品,8,0.028,False,,7200,10
77,S015-MED-01,S015,医疗物资,3,0.012,True,7200.0,7200,18
78,S015-WAT-01,S015,饮用水,14,0.027,True,10800.0,10800,8
79,S015-FOD-01,S015,应急食品,8,0.028,False,,14400,6
