,box,area,mat,g,rho_limit
74,S003-WAT-01,S003,饮用水,C,0.4052149892612441
75,S003-WAT-02,S003,饮用水,A,0.3485527702872956
76,S003-WAT-02,S003,饮用水,B,0.39397029284860685
77,S003-WAT-02,S003,饮用水,C,0.4052149892612441
78,S003-WAT-03,S003,饮用水,A,0.3485527702872956
79,S003-WAT-03,S003,饮用水,B,0.39397029284860685
80,S003-WAT-03,S003,饮用水,C,0.4052149892612441
81,S003-WAT-04,S003,饮用水,A,0.3485527702872956
82,S003-WAT-04,S003,饮用水,B,0.39397029284860685
83,S003-WAT-04,S003,饮用水,C,0.4052149892612441
84,S003-FOD-01,S003,应急食品,A,0.3664076141398007
85,S003-FOD-01,S003,应急食品,B,0.42121470479560075
86,S003-FOD-01,S003,应急食品,C,0.41307196237604293
87,S003-FOD-02,S003,应急食品,A,0.3664076141398007
88,S003-FOD-02,S003,应急食品,B,0.42121470479560075
89,S003-FOD-02,S003,应急食品,C,0.41307196237604293
90,S003-HYG-01,S003,生活卫生用品,A,0.3710548369318245
91,S003-HYG-01,S003,生活卫生用品,B,0.4279654772668515
92,S003-HYG-01,S003,生活卫生用品,C,0.4151976916604193
93,S004-MED-01,S004,医疗物资,A,0.3536221318883406
94,S004-MED-01,S004,医疗物资,B,0.4173067493564735
95,S004-MED-01,S004,医疗物资,C,0.39044686807179985
96,S004-WAT-01,S004,饮用水,A,0.32547655159042965
97,S004-WAT-01,S004,饮用水,B,0.37467548869715717
98,S004-WAT-01,S004,饮用水,C,0.3780272474893944
99,S004-WAT-02,S004,饮用水,A,0.32547655159042965
100,S004-WAT-02,S004,饮用水,B,0.37467548869715717
101,S004-WAT-02,S004,饮用水,C,0.3780272474893944
102,S004-WAT-03,S004,饮用水,A,0.32547655159042965
103,S004-WAT-03,S004,饮用水,B,0.37467548869715717
104,S004-WAT-03,S004,饮用水,C,0.3780272474893944
105,S004-FOD-01,S004,应急食品,A,0.3434797679471634
106,S004-FOD-01,S004,应急食品,B,0.4025317803885651
107,S004-FOD-01,S004,应急食品,C,0.38583176358964355
108,S004-HYG-01,S004,生活卫生用品,A,0.34809536045441003
109,S004-HYG-01,S004,生活卫生用品,B,0.40934162444290045
110,S004-HYG-01,S004,生活卫生用品,C,0.38790934348409256
111,S005-MED-01,S005,医疗物资,A,0.555843850084166
112,S005-MED-01,S005,医疗物资,B,0.5993556328964962
113,S005-MED-01,S005,医疗物资,C,0.581803356438713
114,S005-WAT-01,S005,饮用水,A,0.5364533979659514
115,S005-WAT-01,S005,饮用水,B,0.5700342783921557
116,S005-WAT-01,S005,饮用水,C,0.5732318793353613
117,S005-WAT-02,S005,饮用水,A,0.5364533979659514
118,S005-WAT-02,S005,饮用水,B,0.5700342783921557
119,S005-WAT-02,S005,饮用水,C,0.5732318793353613
120,S005-WAT-03,S005,饮用水,A,0.5364533979659514
121,S005-WAT-03,S005,饮用水,B,0.5700342783921557
122,S005-WAT-03,S005,饮用水,C,0.5732318793353613
123,S005-FOD-01,S005,应急食品,A,0.5488446382799927
124,S005-FOD-01,S005,应急食品,B,0.5891783523206977
125,S005-FOD-01,S005,应急食品,C,0.5786123733251151
126,S005-HYG-01,S005,生活卫生用品,A,0.5520267093828222
127,S005-HYG-01,S005,生活卫生用品,B,0.593865204313843
128,S005-HYG-01,S005,生活卫生用品,C,0.5800472513162654
129,S006-MED-01,S006,医疗物资,A,0.7263779775802426
130,S006-MED-01,S006,医疗物资,B,0.7523568286467541
131,S006-MED-01,S006,医疗物资,C,0.7445076970579843
132,S006-WAT-01,S006,饮用水,A,0.7135818765441756
133,S006-WAT-01,S006,饮用水,B,0.7334315897696384
134,S006-WAT-01,S006,饮用水,C,0.7387191740989281
135,S006-WAT-02,S006,饮用水,A,0.7135818765441756
136,S006-WAT-02,S006,饮用水,B,0.7334315897696384
137,S006-WAT-02,S006,饮用水,C,0.7387191740989281
138,S006-WAT-03,S006,饮用水,A,0.7135818765441756
139,S006-WAT-03,S006,饮用水,B,0.7334315897696384
140,S006-WAT-03,S006,饮用水,C,0.7387191740989281
141,S006-FOD-01,S006,应急食品,A,0.7216564779869528
142,S006-FOD-01,S006,应急食品,B,0.7456554584525741
143,S006-FOD-01,S006,应急食品,C,0.7423020187553835
144,S006-HYG-01,S006,生活卫生用品,A,0.7237758017982707
145,S006-HYG-01,S006,生活卫生用品,B,0.748707651747824
146,S006-HYG-01,S006,生活卫生用品,C,0.7432799164693886
147,S007-MED-01,S007,医疗物资,A,0.6025052585136073
148,S007-MED-01,S007,医疗物资,B,0.6391068971369206
149,S007-MED-01,S007,医疗物资,C,0.6318518914708007
150,S007-WAT-01,S007,饮用水,A,0.5838781649409895
151,S007-WAT-01,S007,饮用水,B,0.6117050687676451
152,S007-WAT-01,S007,饮用水,C,0.623379777408479
153,S007-WAT-02,S007,饮用水,A,0.5838781649409895
154,S007-WAT-02,S007,饮用水,B,0.6117050687676451
155,S007-WAT-02,S007,饮用水,C,0.623379777408479
156,S007-FOD-01,S007,应急食品,A,0.5955966218164317
157,S007-FOD-01,S007,应急食品,B,0.6293569495996817
158,S007-FOD-01,S007,应急食品,C,0.6286064371501545
159,S007-HYG-01,S007,生活卫生用品,A,0.5986884319291382
160,S007-HYG-01,S007,生活卫生用品,B,0.6337858364889272
161,S007-HYG-01,S007,生活卫生用品,C,0.6300407098324804
162,S008-MED-01,S008,医疗物资,A,0.3299074486735245
163,S008-MED-01,S008,医疗物资,B,0.396911460940674
164,S008-MED-01,S008,医疗物资,C,0.36548591415803633
165,S008-WAT-01,S008,饮用水,A,0.30078519931242853
166,S008-WAT-01,S008,饮用水,B,0.3526634937671378
167,S008-WAT-01,S008,饮用水,C,0.3526780660929253
168,S008-WAT-02,S008,饮用水,A,0.30078519931242853
169,S008-WAT-02,S008,饮用水,B,0.3526634937671378
170,S008-WAT-02,S008,饮用水,C,0.3526780660929253
171,S008-FOD-01,S008,应急食品,A,0.31944634507083725
172,S008-FOD-01,S008,应急食品,B,0.3816190022926045
173,S008-FOD-01,S008,应急食品,C,0.36074299413199973
174,S008-HYG-01,S008,生活卫生用品,A,0.32421581627960905
175,S008-HYG-01,S008,生活卫生用品,B,0.3886783391255798
176,S008-HYG-01,S008,生活卫生用品,C,0.36288263493573314
177,S009-MED-01,S009,医疗物资,A,0.5277898085670336
178,S009-MED-01,S009,医疗物资,B,0.5751514236705717
179,S009-MED-01,S009,医疗物资,C,0.5524815834406526
180,S009-WAT-01,S009,饮用水,A,0.5072952300762805
181,S009-WAT-01,S009,饮用水,B,0.5439843888009719
182,S009-WAT-01,S009,饮用水,C,0.5434768116376141
183,S009-FOD-01,S009,应急食品,A,0.5204346095859289
184,S009-FOD-01,S009,应急食品,B,0.5643884927833682
185,S009-FOD-01,S009,应急食品,C,0.5491503386403054
186,S010-MED-01,S010,医疗物资,A,0.5917821896364532
187,S010-MED-01,S010,医疗物资,B,0.6309216330712683
188,S010-MED-01,S010,医疗物资,C,0.6178403451742991
189,S010-WAT-01,S010,饮用水,A,0.5730302454673584
190,S010-WAT-01,S010,饮用水,B,0.6030238902934998
191,S010-WAT-01,S010,饮用水,C,0.6094085946941721
192,S010-FOD-01,S010,应急食品,A,0.5849027245553363
193,S010-FOD-01,S010,应急食品,B,0.6210954497050499
194,S010-FOD-01,S010,应急食品,C,0.6146466261211112
195,S011-MED-01,S011,医疗物资,A,0.7592166266442737
196,S011-MED-01,S011,医疗物资,B,0.7821372790190616
197,S011-MED-01,S011,医疗物资,C,0.775034566694148
198,S011-WAT-01,S011,饮用水,A,0.7483318129737544
199,S011-WAT-01,S011,饮用水,B,0.7658998068990939
200,S011-WAT-01,S011,饮用水,C,0.7701538913857169
201,S011-FOD-01,S011,应急食品,A,0.7552339519208902
202,S011-FOD-01,S011,应急食品,B,0.7764320121145689
203,S011-FOD-01,S011,应急食品,C,0.7731910525130428
204,S012-MED-01,S012,医疗物资,A,0.380887713805388
205,S012-MED-01,S012,医疗物资,B,0.44189522622420296
206,S012-MED-01,S012,医疗物资,C,0.41612014939274744
207,S012-WAT-01,S012,饮用水,A,0.35368040338828033
208,S012-WAT-01,S012,饮用水,B,0.40078041977700585
209,S012-WAT-01,S012,饮用水,C,0.40408490748990455
210,S012-FOD-01,S012,应急食品,A,0.37106042636960057
211,S012-FOD-01,S012,应急食品,B,0.4276161220311846
212,S012-FOD-01,S012,应急食品,C,0.4116364700177194
213,S013-MED-01,S013,医疗物资,A,0.5909709713473497
214,S013-MED-01,S013,医疗物资,B,0.6308587232188598
215,S013-MED-01,S013,医疗物资,C,0.6153160775433955
216,S013-WAT-01,S013,饮用水,A,0.5723410768709434
217,S013-WAT-01,S013,饮用水,B,0.6030062389675854
218,S013-WAT-01,S013,饮用水,C,0.6069816183417722
219,S013-FOD-01,S013,应急食品,A,0.5841692332735573
220,S013-FOD-01,S013,应急食品,B,0.6210917427195252
221,S013-FOD-01,S013,应急食品,C,0.6121752278250876
222,S014-MED-01,S014,医疗物资,A,0.5219258111548581
223,S014-MED-01,S014,医疗物资,B,0.5655378440640519
224,S014-MED-01,S014,医疗物资,C,0.5583102899210919
225,S014-WAT-01,S014,饮用水,A,0.49961673499313763
226,S014-WAT-01,S014,饮用水,B,0.5327354374144821
227,S014-WAT-01,S014,饮用水,C,0.5481585653077453
228,S014-FOD-01,S014,应急食品,A,0.5136477163444326
229,S014-FOD-01,S014,应急食品,B,0.553861196652454
230,S014-FOD-01,S014,应急食品,C,0.5544195730967494
231,S015-MED-01,S015,医疗物资,A,0.48423962799722675
232,S015-MED-01,S015,医疗物资,B,0.5332521741851246
233,S015-MED-01,S015,医疗物资,C,0.5182986360359647
234,S015-WAT-01,S015,饮用水,A,0.4601565951037868
235,S015-WAT-01,S015,饮用水,B,0.4976156126267903
236,S015-WAT-01,S015,饮用水,C,0.5074099254157923
237,S015-FOD-01,S015,应急食品,A,0.4753578618775287
238,S015-FOD-01,S015,应急食品,B,0.520639160075838
239,S015-FOD-01,S015,应急食品,C,0.5141516816656904
